Temperatura (C),Amperagem(µA),Resistência(Ω)
19.1,-0.008,107.2
19.2,-0.009,107.3
19.3,-0.009,107.4
19.4,-0.01,107.6
19.5,-0.01,107.7
19.6,-0.01,107.8
20.0,-0.01,107.9
21.0,-0.011,108.1
22.0,-0.011,108.2
23.0,-0.012,108.4
24.0,-0.012,108.7
25.0,-0.013,108.9
26.0,-0.014,109.2
27.0,-0.015,109.6
28.0,-0.016,109.9
29.0,-0.017,110.2
30.0,-0.018,110.6
31.0,-0.02,111.0
32.0,-0.022,111.3
33.0,-0.024,111.7
34.0,-0.025,112.2
35.0,-0.027,112.6
36.0,-0.029,112.9
37.0,-0.031,113.4
38.0,-0.033,113.7
39.0,-0.036,114.0
40.0,-0.038,114.4
41.0,-0.043,114.9
42.0,-0.045,115.3
43.0,-0.046,115.6
44.0,-0.047,116.0
45.0,-0.05,116.4
46.0,-0.055,116.7
47.0,-0.058,117.0
48.0,-0.069,117.5
49.0,-0.07,118.0
50.0,-0.08,118.2
51.0,-0.081,118.7
52.0,-0.086,119.2
53.0,-0.089,119.7
54.0,-0.091,120.0
55.0,-0.108,120.4
56.0,-0.111,120.8
57.0,-0.121,121.2
58.0,-0.125,121.6
59.0,-0.144,122.2
60.0,-0.154,122.5
61.0,-0.162,122.9
62.0,-0.166,123.2
63.0,-0.162,123.6
64.0,-0.188,124.1
65.0,-0.19,124.6
66.0,-0.206,125.1
67.0,-0.232,125.5
68.0,-0.238,125.9
69.0,-0.24,126.3
70.0,-0.242,126.8
71.0,-0.25,127.1
72.0,-0.271,127.6
73.0,-0.313,128.0
74.0,-0.306,128.4
75.0,-0.316,128.8
76.0,-0.331,129.4
77.0,-0.346,130.0
78.0,-0.368,130.6
79.0,-0.405,131.2
79.5,-0.425,131.6
79.8,-0.409,131.8
79.9,-0.41,131.8
80.0,-0.408,131.9
80.1,-0.403,132.0
80.2,-0.406,132.0
80.3,-0.41,132.1
80.6,-0.409,132.1
81.0,-0.408,132.2
82.0,-0.4,132.2
82.4,-0.386,132.3
