Tensão na Amostra (mV E-3);Resistência Termómetro Platina (ohm E-3)
0;27786
1;33860
0;33862
1;33863
0;33865
1;33866
0;33874
1;33875
0;33887
1;33888
2;33903
1;33909
2;33911
1;33913
2;33913
3;33942
4;33977
5;34000
6;34023
7;34041
8;34054
9;34065
10;34076
11;34088
12;34101
13;34120
14;34128
15;34138
16;34148
17;34156
18;34166
19;34172
20;34178
21;34186
22;34192
23;34200
24;34206
25;34212
26;34216
27;34222
28;34227
29;34234
30;34237
31;34243
32;34249
33;34253
34;34256
35;34262
36;34267
37;34271
38;34275
39;34281
40;34285
41;34291
42;34294
43;34299
44;34301
45;34307
46;34311
47;34315
48;34318
49;34322
50;34328
51;34331
52;34335
53;34338
54;34340
55;34346
56;34350
57;34353
58;34357
59;34360
60;34364
61;34368
62;34371
63;34374
64;34378
65;34380
66;34384
67;34389
68;34393
69;34394
70;34398
71;34400
72;34405
73;34409
74;34410
75;34414
76;34419
77;34423
78;34427
79;34428
80;34432
81;34435
82;34439
83;34442
84;34446
85;34449
86;34452
87;34454
88;34457
89;34461
90;34464
91;34467
92;34471
93;34473
94;34476
95;34480
96;34483
97;34486
98;34490
99;34493
100;34496
101;34500
102;34502
103;34505
104;34508
105;34512
106;34515
107;34518
108;34521
109;34523
110;34527
111;34530
112;34532
113;34535
114;34538
115;34541
116;34545
117;34548
118;34552
119;34553
120;34556
121;34560
122;34563
123;34566
124;34570
125;34573
126;34576
127;34580
128;34583
129;34586
130;34589
131;34591
132;34595
133;34598
134;34602
135;34605
136;34608
137;34612
138;34614
139;34619
140;34621
141;34625
142;34629
143;34631
144;34636
145;34639
146;34643
147;
148;34656
149;34670
150;34684
151;34691
152;34699
153;
154;34715
155;
156;34722
157;34730
158;34738
159;
160;34746
161;34754
162;34762
163;
164;34770
165;34778
166;
167;34786
168;
169;34794
170;34802
171;
172;34809
173;34818
174;
175;34826
176;
177;34833
178;34841
179;
180;
181;34849
182;34857
183;
184;34865
185;34873
186;
187;34881
188;
189;34888
190;
191;34896
192;34904
193;34912
194;34920
195;34928
196;34935
197;34928
198;
199;34935
200;
201;34943
202;
203;34951
204;34959
205;
206;34966
207;
208;34974
209;34982
210;
211;34989
212;
213;34997
214;34997
215;
216;35012
217;35020
218;
219;35028
220;35035
221;
222;35043
223;35051
224;
225;35058
226;35065
227;
228;35073
229;35080
230;
231;35088
232;
233;35096
234;35103
235;35111
236;
237;35118
238;35126
239;35134
240;
241;35141
242;35149
243;
244;35156
245;35164
246;
247;35171
248;35179
249;35186
250;35194
251;
252;35201
253;35208
254;35216
255;
256;35223
257;35231
258;
259;35238
260;35245
261;35253
262;35260
263;
264;35268
265;35275
266;35282
267;35290
268;
269;35297
270;35305
271;35312
272;35319
273;
274;35327
275;35334
276;35341
277;35349
278;35349
279;
280;35363
281;
282;35371
283;35385
284;35393
285;35400
286;
287;35407
288;35414
289;35429
290;
291;35436
292;35443
293;35450
294;35457
295;35465
296;35472
297;35479
298;35486
299;
300;35494
301;35508
302;35515
303;
304;35522
305;35529
306;
307;35537
308;35551
309;35558
310;35565
311;35572
312;35579
313;35586
314;35593
315;35607
316;35622
317;35629
318;
319;35636
320;35643
321;35657
322;
323;
324;35664
325;
326;35678
327;35692
328;35699
329;35712
330;35719
331;
332;35726
333;35740
334;35747
335;35754
336;
337;35768
338;35782
339;35789
340;35802
341;35809
342;35816
343;35823
344;35829
345;35843
346;35850
347;35857
348;35863
349;35877
350;35884
351;
352;35898
353;35911
354;
355;35925
356;35938
357;35945
358;35958
359;35972
360;35978
361;35992
362;35998
363;36012
364;36018
365;36031
366;36038
367;36045
368;36058
369;36065
370;36078
371;36091
372;36098
373;36111
374;36124
375;36131
376;36144
377;36157
378;36170
379;36176
380;36189
381;36202
382;36208
383;36228
384;36234
385;36247
386;36260
387;36273
388;36286
389;36292
390;36311
391;36317
392;36337
393;36349
394;36356
395;36368
396;36387
397;36400
398;36413
399;36431
400;36444
401;36456
402;36475
403;36487
404;36499
405;36518
406;36530
407;36548
408;36561
409;36579
410;36592
411;36610
412;36628
413;36646
414;36665
415;36677
416;36695
417;36712
418;36719
419;36748
420;36766
421;36778
422;36802
423;36819
424;36837
425;36849
426;36867
427;36890
428;36913
429;36931
430;36954
431;36983
432;37000
433;37017
434;37045
435;37057
436;37079
437;37107
438;37124
439;37157
440;37168
441;37190
442;37218
443;37240
444;37267
445;37300
446;37322
447;37343
448;37376
449;37392
450;37428
451;37450
452;37486
453;37513
454;37534
455;37565
456;37591
457;37632
458;37653
459;37684
460;37723
461;37763
462;37788
463;37813
464;37863
465;37898
466;37927
467;37965
468;37993
469;38036
470;38083
471;38121
472;38153
473;38186
474;38213
475;38273
476;38318
