Tensão na Amostra (mV E-3);Resistência Termómetro Platina (ohm E-3)
554;43591
555;43590
554;43526
553;43372
552;43254
551;43160
550;43078
549;42973
548;42892
547;42812
546;42743
545;42652
544;42599
543;42514
542;42443
541;42315
540;42241
539;42133
538;42021
537;41952
536;41882
535;41783
534;41698
533;41629
532;41545
531;41462
530;41407
529;41310
528;41228
527;41160
526;41091
525;41010
524;40942
523;40848
522;40780
521;40714
520;40647
519;40580
518;40514
517;40448
516;40369
515;40304
514;40238
513;40173
512;40122
511;40031
510;39992
509;39915
508;39864
507;39787
506;39736
505;39660
504;39584
503;39546
502;39484
501;39421
500;39396
499;39335
498;39235
497;39198
496;39173
495;39075
494;39014
493;38965
492;38901
491;38850
490;38798
489;38735
488;38671
487;38645
486;38582
485;38544
484;38481
483;38443
482;38393
481;38355
480;38306
479;38256
478;38206
477;38168
476;38118
475;38070
474;38032
473;37984
472;37947
471;37910
470;37873
469;37837
468;37813
467;37752
466;37727
465;37703
464;37655
463;37619
462;37595
461;37547
460;37523
459;37487
458;37451
457;37415
456;37391
455;37344
454;37320
453;37296
452;37261
451;37238
450;37214
449;37179
448;37155
447;37120
446;37097
445;37062
444;37039
443;37016
442;36993
441;36958
440;36935
439;36912
438;36889
437;36866
436;36843
435;36820
434;36797
433;36763
432;36751
431;36729
430;36706
429;36683
428;36660
427;36638
426;36626
425;36604
424;36581
423;36570
422;36547
421;36525
420;36502
419;36480
418;36457
417;36446
416;36424
415;36412
414;36390
413;36379
412;36368
411;36334
410;36323
409;36313
408;36302
407;36279
406;36257
405;36246
404;36223
403;36212
402;36202
401;36180
400;36168
399;36146
398;36136
397;36124
396;36113
395;36102
394;36080
393;36069
392;36058
391;36047
390;36026
389;36015
388;36004
387;35993
386;35982
385;35971
384;35960
383;35949
382;35927
381;35916
380;35906
379;35895
378;35884
377;35873
376;35862
375;35841
374;35834
373;35830
372;35819
371;35808
370;35797
369;35776
368;35765
367;35754
366;35744
364;35744
363;35722
362;35711
361;35701
360;35690
359;35679
358;35669
357;35658
356;35658
355;35637
353;35626
351;35605
350;35594
349;35583
348;35573
346;35562
345;35552
344;35541
343;35530
342;35520
341;35509
339;35498
338;35493
336;35488
334;35467
333;35446
331;35435
330;35425
329;35414
327;35404
326;35393
325;35383
324;35373
322;35362
321;35352
320;35341
318;35331
317;35320
315;35310
314;35300
312;35289
311;35279
310;35275
308;35269
307;35248
305;35237
304;35227
302;35216
301;35206
299;35195
298;35185
296;35175
295;35165
293;35154
291;35144
290;35134
288;35123
287;35113
285;35113
284;35092
282;35082
281;35072
279;35061
277;35051
276;35041
274;35030
272;35020
270;35010
269;35000
267;34989
265;34979
264;34969
262;34959
260;34959
258;34949
256;34929
255;34919
253;34909
251;34902
249;34898
247;34888
246;34868
244;34858
242;34848
240;34838
238;34828
236;34818
232;34798
230;34788
228;34777
226;34767
224;34757
222;34747
220;34737
218;34727
216;34717
213;34708
211;34698
209;34688
207;34679
205;34670
202;34661
200;34652
198;34643
196;34634
193;34625
190;34616
188;34608
186;34599
184;34592
181;34584
178;34576
177;34569
174;34562
171;34555
169;34549
167;34542
164;34536
162;34536
160;34536
158;34550
156;34550
154;34560
153;34568
152;34582
151;34588
150;34580
149;34573
148;34570
146;34566
145;34559
143;34553
142;34549
140;34543
138;34536
137;34529
136;34526
134;34522
133;34519
132;34517
131;34517
130;34517
129;34517
128;34517
127;34517
126;34517
125;34518
124;34518
123;34519
122;34520
121;34522
120;34524
119;34515
118;34506
117;34499
116;34492
115;34488
114;34481
113;34478
112;34474
111;34469
110;34465
109;34462
108;34455
106;34452
105;34442
104;34436
102;34433
101;34426
100;34422
99;34419
98;34413
97;34409
96;34406
94;34403
93;34396
92;34393
91;34386
90;34383
89;34380
88;34376
87;34373
86;34370
85;34367
84;34363
83;34360
82;34357
81;34354
80;34351
79;34347
78;34344
77;34340
76;34338
75;34335
74;34332
72;34327
71;34323
70;34322
69;34321
68;34320
67;34318
66;34317
65;34315
64;34314
63;34313
62;34311
61;34310
60;34308
59;34306
58;34304
57;34302
56;34300
55;34299
54;34295
53;34292
52;34288
51;34285
50;34280
49;34278
48;34275
47;34270
46;34267
45;34263
44;34260
43;34256
42;34252
41;34248
40;34244
39;34240
38;34235
37;34232
36;34227
35;34222
34;34218
33;34214
32;34210
31;34199
30;34198
29;34194
28;34189
27;34184
26;34179
25;34174
24;34164
23;34156
22;34149
21;34144
20;34137
19;34131
18;34123
17;34115
16;34108
15;34101
14;34094
13;34085
12;34076
11;34069
10;34055
9;34046
8;34037
7;34022
6;34008
5;34000
4;33973
3;33954
2;33926
1;33894
0;33838
1;33836
0;33832
1;33831
0;33821
1;33819
0;33818
0;27791
