scansci Spectrometer Data File
--- Measurement Setting ---
Type: Sample Spectrum
Date: Fri Nov 29 18:32:13 2024
User: (Reserved by scansci)
Serial: (Reserved by scansci)
Channel: No. 11
Integration Time: 100
Average: 10
Boxcar: 1
Electrical Dark: No-corrected
Time Normalize: (Reserved by scansci)
Dual-beam: (Reserved by scansci)
Reference Ch: (Reserved by scansci)
--- Measurement Data ---
Pixel   Wavelength   Intensity
    0        344.4       790.25
    1      344.867      789.967
    2      345.334      789.467
    3      345.801        788.2
    4      346.268      787.633
    5      346.735      788.133
    6      347.202      788.633
    7      347.669      788.467
    8      348.135      787.133
    9      348.602      785.667
   10      349.068        784.4
   11      349.535      783.233
   12      350.001        782.5
   13      350.467        783.7
   14      350.933      786.167
   15      351.399        788.3
   16      351.866      788.933
   17      352.331      788.633
   18      352.797        788.1
   19      353.263      786.667
   20      353.729        784.4
   21      354.194        782.7
   22       354.66      782.167
   23      355.126      782.833
   24      355.591        784.1
   25      356.056        785.6
   26      356.522      787.233
   27      356.987        787.5
   28      357.452      786.867
   29      357.917        785.9
   30      358.382      784.933
   31      358.847      784.467
   32      359.312        785.8
   33      359.776        788.3
   34      360.241      790.467
   35      360.706      790.533
   36       361.17      790.233
   37      361.634        790.4
   38      362.099        790.4
   39      362.563      790.167
   40      363.027      789.333
   41      363.491        788.6
   42      363.955      787.267
   43      364.419          786
   44      364.883        785.5
   45      365.347        785.9
   46      365.811        786.4
   47      366.274      786.733
   48      366.738      787.867
   49      367.201      789.767
   50      367.665      790.467
   51      368.128      789.133
   52      368.592      786.733
   53      369.055          785
   54      369.518      784.433
   55      369.981        784.1
   56      370.444      784.033
   57      370.907        784.3
   58       371.37      785.167
   59      371.832      786.067
   60      372.295      786.167
   61      372.757        785.4
   62       373.22      785.467
   63      373.682        786.1
   64      374.145        787.1
   65      374.607      786.933
   66      375.069      785.933
   67      375.531      784.833
   68      375.993      783.067
   69      376.455      781.933
   70      376.917      781.467
   71      377.379        782.6
