scansci Spectrometer Data File
--- Measurement Setting ---
Type: Sample Spectrum
Date: Fri Nov 22 18:00:57 2024
User: (Reserved by scansci)
Serial: (Reserved by scansci)
Channel: No. 11
Integration Time: 500
Average: 30
Boxcar: 50
Electrical Dark: No-corrected
Time Normalize: (Reserved by scansci)
Dual-beam: (Reserved by scansci)
Reference Ch: (Reserved by scansci)
--- Measurement Data ---
Pixel   Wavelength   Intensity
    0        162.5      806.912
    1      162.985      806.522
    2      163.469      806.072
    3      163.954       805.67
    4      164.439      805.298
    5      164.923      804.876
    6      165.408      804.443
    7      165.892      804.014
    8      166.377      803.623
    9      166.861      803.224
   10      167.345      802.816
   11       167.83      802.519
   12      168.314       802.34
   13      168.798      802.237
   14      169.282      802.278
   15      169.766      802.525
   16       170.25      803.037
   17      170.734      803.506
   18      171.218      803.772
   19      171.702      803.923
   20      172.185      803.902
   21      172.669      803.988
   22      173.153      804.174
   23      173.636      804.175
   24       174.12       804.07
   25      174.603      804.154
   26      175.087      804.474
   27       175.57      804.723
   28      176.053      804.805
   29      176.537      804.868
   30       177.02      805.002
   31      177.503      805.073
   32      177.986      805.028
   33      178.469      804.921
   34      178.952      804.835
   35      179.435       804.68
   36      179.918       804.44
   37      180.401      804.148
   38      180.884      803.834
   39      181.366      803.551
   40      181.849      803.336
   41      182.332      803.151
   42      182.814      802.922
   43      183.297      802.694
   44      183.779       802.52
   45      184.262      802.367
   46      184.744      802.213
   47      185.226      802.028
   48      185.708      801.793
   49      186.191      801.578
   50      186.673      801.439
   51      187.155      801.535
   52      187.637      801.646
   53      188.119      801.696
   54        188.6      801.694
   55      189.082       801.38
   56      189.564      800.852
   57      190.046      800.508
   58      190.527      800.314
   59      191.009      800.227
   60      191.491      799.984
   61      191.972      799.751
   62      192.454      799.763
   63      192.935      799.771
   64      193.416      799.804
   65      193.897      799.783
   66      194.379      799.701
   67       194.86      799.611
   68      195.341      799.518
   69      195.822      799.442
   70      196.303      799.444
   71      196.784       799.64
   72      197.265      799.898
   73      197.746      800.065
   74      198.226      800.163
   75      198.707      800.179
   76      199.188      799.641
   77      199.668      798.737
   78      200.149      798.378
   79      200.629      798.519
   80       201.11      798.779
   81       201.59      799.133
   82       202.07      799.521
   83       202.55      799.842
   84      203.031      800.163
   85      203.511      800.157
   86      203.991      799.928
   87      204.471      799.265
   88      204.951        798.3
   89      205.431      797.759
   90       205.91      797.598
   91       206.39      797.629
   92       206.87      797.599
   93      207.349       797.69
   94      207.829      797.847
   95      208.309       797.94
   96      208.788      798.089
   97      209.267       798.19
   98      209.747      798.217
   99      210.226      798.148
  100      210.705      798.003
  101      211.185       797.95
  102      211.664       798.01
  103      212.143      798.178
  104      212.622      798.352
  105      213.101      798.446
  106      213.579       798.53
  107      214.058      798.632
  108      214.537      798.739
  109      215.016      798.905
  110      215.494      799.113
  111      215.973      799.391
  112      216.452      799.709
  113       216.93      799.822
  114      217.408      799.801
  115      217.887      799.729
  116      218.365      799.602
  117      218.843      799.413
  118      219.321      799.208
  119      219.799      799.164
  120      220.278       799.26
  121      220.755      799.345
  122      221.233      799.287
  123      221.711      799.072
  124      222.189      798.925
  125      222.667      798.935
  126      223.144      798.875
  127      223.622      798.558
  128        224.1      798.225
  129      224.577      798.003
  130      225.055      797.808
  131      225.532      797.572
  132      226.009       797.37
  133      226.486      797.203
  134      226.964      797.075
  135      227.441      796.965
  136      227.918      796.989
  137      228.395       797.11
  138      228.872      797.302
  139      229.349      797.543
  140      229.826      797.735
  141      230.302      797.805
  142      230.779      797.858
  143      231.256      797.969
  144      231.732      798.041
  145      232.209      798.126
  146      232.685      798.209
  147      233.162      798.204
  148      233.638      798.214
  149      234.114      798.265
  150       234.59      798.272
  151      235.066      798.225
  152      235.543      798.169
  153      236.019      798.177
  154      236.495      798.209
  155       236.97      798.404
  156      237.446      798.738
  157      237.922      799.029
  158      238.398      799.293
  159      238.873      799.477
  160      239.349      799.737
  161      239.824      799.968
  162        240.3      799.889
  163      240.775      799.707
  164      241.251      799.682
  165      241.726      799.717
  166      242.201      799.874
  167      242.676      800.118
  168      243.151      800.349
  169      243.626       800.52
  170      244.101      800.589
  171      244.576      800.595
  172      245.051      800.352
  173      245.526      799.999
  174          246      799.796
  175      246.475      799.647
  176       246.95      799.572
  177      247.424      799.557
  178      247.899      799.584
  179      248.373      799.436
  180      248.847      798.916
  181      249.321      798.382
  182      249.796      797.877
  183       250.27      797.527
  184      250.744      797.471
  185      251.218      797.388
  186      251.692      797.372
  187      252.166      797.424
  188      252.639      797.382
  189      253.113      797.255
  190      253.587      797.196
  191       254.06      797.063
  192      254.534      796.833
  193      255.007      796.716
  194      255.481      796.543
  195      255.954      796.338
  196      256.427      796.237
  197      256.901      796.067
  198      257.374      795.927
  199      257.847      795.956
  200       258.32      796.044
  201      258.793      796.127
  202      259.266      796.208
  203      259.739      796.234
  204      260.211      796.155
  205      260.684      796.083
  206      261.157      796.133
  207      261.629      796.208
