depth[mm]	HF [V]	NF [V]	TGC [dB]
0,0	0,339	0,082	1,260
0,0	0,427	0,426	1,417
0,0	0,493	0,400	0,787
0,0	0,517	-0,034	0,472
0,0	0,482	-0,405	1,575
0,0	0,391	-0,341	1,732
0,0	0,278	-0,036	1,575
0,0	0,206	0,100	1,260
0,1	0,232	0,070	1,102
0,2	0,368	0,210	1,102
0,3	0,560	0,545	1,260
0,5	0,710	0,613	1,417
0,6	0,745	0,135	1,260
0,7	0,662	-0,463	1,102
0,9	0,530	-0,519	1,102
1,0	0,433	-0,015	1,102
1,1	0,412	0,388	1,260
1,3	0,436	0,214	1,260
1,4	0,442	-0,247	1,260
1,6	0,387	-0,401	1,260
1,7	0,287	-0,137	1,260
1,8	0,196	0,122	1,260
2,0	0,157	0,060	1,260
2,1	0,166	-0,154	1,260
2,2	0,183	-0,193	1,260
2,4	0,170	-0,037	1,260
2,5	0,125	0,076	1,102
2,6	0,075	0,026	1,260
2,8	0,052	-0,060	1,260
2,9	0,059	-0,040	1,260
3,0	0,074	0,042	1,260
3,2	0,075	0,065	1,181
3,3	0,056	0,017	1,181
3,4	0,032	-0,015	1,260
3,6	0,021	0,012	1,260
3,7	0,025	0,044	1,260
3,8	0,034	0,035	1,260
4,0	0,036	0,007	1,260
4,1	0,028	0,005	1,260
4,3	0,019	0,025	1,260
4,4	0,016	0,029	1,260
4,5	0,020	0,011	1,260
4,7	0,025	-0,004	1,260
4,8	0,023	0,001	1,260
4,9	0,017	0,009	1,260
5,1	0,011	0,005	1,260
5,2	0,010	-0,006	1,260
5,3	0,013	-0,008	1,260
5,5	0,015	-0,002	1,260
5,6	0,013	-0,001	1,181
5,7	0,008	-0,005	1,260
5,9	0,006	-0,007	1,260
6,0	0,007	-0,004	1,260
6,1	0,011	-0,004	1,260
6,3	0,013	-0,009	1,260
6,4	0,011	-0,012	1,260
6,5	0,009	-0,005	1,260
6,7	0,008	0,005	1,260
6,8	0,010	0,007	1,260
7,0	0,013	-0,002	1,181
7,1	0,013	-0,011	1,260
7,2	0,011	-0,011	2,047
7,4	0,006	-0,004	4,567
7,5	0,003	0,001	7,087
7,6	0,003	0,001	8,661
7,8	0,005	-0,002	9,764
7,9	0,007	-0,005	10,551
8,0	0,008	-0,007	11,181
8,2	0,008	-0,007	11,654
8,3	0,007	-0,002	11,969
8,4	0,005	0,004	12,441
8,6	0,003	0,005	12,756
8,7	0,003	0,000	13,071
8,8	0,004	0,000	13,386
9,0	0,009	0,008	13,701
9,1	0,017	0,014	14,016
9,2	0,026	0,000	14,331
9,4	0,033	-0,026	14,646
9,5	0,035	-0,033	14,961
9,6	0,033	-0,007	15,276
9,8	0,028	0,023	15,591
9,9	0,024	0,018	15,748
10,1	0,022	-0,012	16,063
10,2	0,022	-0,021	16,378
10,3	0,025	0,007	16,693
10,5	0,028	0,028	17,008
10,6	0,032	0,003	17,323
10,7	0,034	-0,032	17,638
10,9	0,035	-0,020	17,953
11,0	0,035	0,025	18,189
11,1	0,035	0,028	18,425
11,3	0,037	-0,022	18,740
11,4	0,045	-0,037	19,055
11,5	0,058	0,026	19,370
11,7	0,074	0,072	19,685
11,8	0,089	0,004	19,921
11,9	0,099	-0,095	20,157
12,1	0,107	-0,054	20,551
12,2	0,119	0,092	20,787
12,3	0,143	0,098	21,181
12,5	0,189	-0,116	21,417
12,6	0,260	-0,241	21,732
12,8	0,355	0,025	22,047
12,9	0,467	0,441	22,362
13,0	0,584	0,403	22,677
13,2	0,693	-0,227	22,992
13,3	0,782	-0,774	23,307
13,4	0,840	-0,517	23,465
13,6	0,856	0,338	23,780
13,7	0,829	0,824	24,094
13,8	0,766	0,399	24,409
14,0	0,682	-0,380	24,724
14,1	0,598	-0,589	25,039
14,2	0,528	-0,084	25,354
14,4	0,474	0,415	25,512
14,5	0,429	0,320	25,827
14,6	0,382	-0,133	26,142
14,8	0,326	-0,329	26,457
14,9	0,266	-0,104	26,772
15,0	0,210	0,157	26,929
15,2	0,167	0,129	27,244
15,3	0,139	-0,063	27,559
15,5	0,119	-0,122	27,953
15,6	0,101	-0,012	28,189
15,7	0,081	0,071	28,504
15,9	0,061	0,024	28,819
16,0	0,046	-0,043	29,134
16,1	0,038	-0,022	29,449
16,3	0,039	0,034	29,685
16,4	0,045	0,021	29,921
16,5	0,054	-0,041	30,236
16,7	0,063	-0,051	30,551
16,8	0,069	0,017	31,024
16,9	0,073	0,073	31,024
17,1	0,072	0,047	31,024
17,2	0,065	-0,022	31,024
17,3	0,053	-0,051	31,024
17,5	0,038	-0,024	31,024
17,6	0,022	0,009	31,024
17,7	0,012	0,012	30,945
17,9	0,008	0,004	30,945
18,0	0,012	0,010	30,866
18,2	0,021	0,021	30,945
18,3	0,028	0,013	30,945
18,4	0,030	-0,012	30,945
18,6	0,026	-0,026	30,945
18,7	0,019	-0,015	31,024
18,8	0,012	0,004	31,024
19,0	0,011	0,007	31,024
19,1	0,015	-0,008	31,024
19,2	0,022	-0,023	31,024
19,4	0,028	-0,023	31,024
19,5	0,029	-0,008	31,024
19,6	0,026	0,008	30,866
19,8	0,022	0,018	30,866
19,9	0,020	0,021	30,866
20,0	0,020	0,018	30,866
20,2	0,020	0,013	30,866
20,3	0,020	0,004	30,866
20,4	0,016	-0,007	30,945
20,6	0,011	-0,011	30,945
20,7	0,006	-0,007	30,866
20,9	0,005	0,000	30,866
21,0	0,007	-0,002	30,866
21,1	0,011	-0,011	30,866
21,3	0,015	-0,015	30,866
21,4	0,017	-0,003	30,866
21,5	0,019	0,014	30,866
21,7	0,020	0,015	30,866
21,8	0,023	-0,006	30,866
21,9	0,026	-0,027	30,866
22,1	0,030	-0,021	30,866
22,2	0,032	0,007	30,866
22,3	0,031	0,028	30,866
22,5	0,029	0,022	30,866
22,6	0,024	-0,002	30,866
22,7	0,018	-0,017	30,866
22,9	0,011	-0,012	30,866
23,0	0,007	0,000	30,866
23,1	0,007	0,000	30,866
23,3	0,010	-0,011	30,866
23,4	0,017	-0,015	30,866
23,6	0,025	-0,001	30,866
23,7	0,031	0,023	30,866
23,8	0,033	0,031	30,866
24,0	0,031	0,013	30,866
24,1	0,026	-0,015	30,866
24,2	0,020	-0,022	30,866
24,4	0,017	-0,004	30,866
24,5	0,017	0,015	30,866
24,6	0,019	0,009	30,866
24,8	0,019	-0,011	30,866
24,9	0,016	-0,018	30,866
25,0	0,012	-0,006	30,866
25,2	0,008	0,002	30,866
25,3	0,010	-0,006	30,866
25,4	0,020	-0,004	30,866
25,6	0,038	0,029	30,866
25,7	0,060	0,058	30,866
25,8	0,083	0,022	30,866
26,0	0,106	-0,072	30,866
26,1	0,126	-0,123	30,866
26,2	0,143	-0,051	30,866
26,4	0,156	0,092	30,866
26,5	0,162	0,162	30,866
26,7	0,158	0,088	30,866
26,8	0,143	-0,049	30,866
26,9	0,119	-0,115	30,866
