time [µs]	HF [V]	NF [V]	TGC [dB]
0,0	0,131	0,058	1,102
0,1	0,179	0,187	1,260
0,2	0,235	0,119	0,709
0,3	0,282	-0,122	0,472
0,4	0,297	-0,283	1,575
0,5	0,267	-0,199	1,654
0,6	0,203	0,002	1,417
0,7	0,137	0,092	1,102
0,8	0,108	0,060	0,945
0,9	0,132	0,076	0,945
1,0	0,189	0,188	1,260
1,1	0,242	0,223	1,339
1,2	0,257	0,055	1,260
1,3	0,231	-0,160	1,102
1,4	0,188	-0,173	0,945
1,5	0,159	0,018	1,102
1,6	0,157	0,157	1,260
1,7	0,169	0,075	1,260
1,8	0,171	-0,104	1,102
1,9	0,150	-0,149	1,102
2,0	0,114	-0,036	1,102
2,1	0,081	0,063	1,102
2,2	0,065	0,032	1,102
2,3	0,064	-0,053	1,102
2,4	0,065	-0,066	1,102
2,5	0,058	-0,007	1,102
2,6	0,042	0,030	1,102
2,7	0,028	0,006	1,102
2,8	0,023	-0,027	1,102
2,9	0,025	-0,016	1,102
3,0	0,029	0,017	1,102
3,1	0,026	0,023	1,102
3,2	0,019	0,002	1,102
3,3	0,012	-0,008	1,102
3,4	0,011	0,005	1,102
3,5	0,013	0,019	1,181
3,6	0,015	0,013	1,102
3,7	0,013	0,002	1,102
3,8	0,009	0,002	1,102
3,9	0,006	0,010	1,102
4,0	0,006	0,010	1,102
4,1	0,008	0,002	1,102
4,2	0,009	-0,003	1,102
4,3	0,007	0,000	1,102
4,4	0,004	0,004	1,102
4,5	0,002	0,002	1,102
4,6	0,002	-0,002	1,102
4,7	0,004	-0,002	1,102
4,8	0,005	0,002	1,102
4,9	0,005	0,002	1,102
5,0	0,004	-0,001	1,102
5,1	0,003	-0,004	1,102
5,2	0,003	-0,003	1,102
5,3	0,003	-0,002	1,102
5,4	0,003	-0,003	1,102
5,5	0,003	-0,003	1,102
5,6	0,002	0,000	1,102
5,7	0,003	0,003	1,102
5,8	0,004	0,003	1,102
5,9	0,005	-0,001	1,102
6,0	0,005	-0,004	1,102
6,1	0,004	-0,004	1,102
6,2	0,003	-0,001	1,102
6,3	0,002	0,002	1,102
6,4	0,002	0,002	1,102
6,5	0,002	0,001	1,102
6,6	0,002	-0,001	1,102
6,7	0,002	-0,002	1,102
6,8	0,002	-0,001	1,102
6,9	0,002	0,001	1,102
7,0	0,002	0,003	1,102
7,1	0,003	0,003	1,102
7,2	0,003	0,002	1,102
7,3	0,004	0,003	1,102
7,4	0,005	0,003	1,181
7,5	0,006	0,001	1,102
7,6	0,007	-0,003	1,102
7,7	0,007	-0,007	1,102
7,8	0,007	-0,006	1,102
7,9	0,005	-0,001	1,102
8,0	0,003	0,003	1,102
8,1	0,002	0,003	1,102
8,2	0,001	0,001	1,102
8,3	0,001	0,000	0,787
8,4	0,002	0,002	0,157
8,5	0,002	0,003	0,787
8,6	0,003	0,002	1,575
8,7	0,003	0,001	2,205
8,8	0,003	0,001	2,756
8,9	0,003	0,001	3,150
9,0	0,003	0,000	3,465
9,1	0,003	-0,001	3,780
9,2	0,002	-0,001	4,173
9,3	0,002	0,000	4,409
9,4	0,002	0,001	4,724
9,5	0,003	0,000	5,039
9,6	0,003	-0,001	5,354
9,7	0,003	-0,002	5,669
9,8	0,003	-0,003	5,984
9,9	0,003	-0,003	6,299
10,0	0,003	-0,002	6,614
10,1	0,003	0,000	7,008
10,2	0,002	0,002	7,402
10,3	0,002	0,002	7,717
10,4	0,002	-0,001	8,031
10,5	0,002	-0,001	8,268
10,6	0,004	0,003	8,583
10,7	0,006	0,006	8,819
10,8	0,007	0,003	9,213
10,9	0,006	-0,002	9,528
11,0	0,005	-0,004	9,764
11,1	0,004	-0,002	10,079
11,2	0,004	-0,004	10,394
11,3	0,006	-0,007	10,709
11,4	0,009	-0,004	11,024
11,5	0,010	0,006	11,339
11,6	0,011	0,010	11,654
11,7	0,011	0,000	11,969
11,8	0,011	-0,010	12,283
11,9	0,012	-0,004	12,598
12,0	0,013	0,012	12,992
12,1	0,015	0,011	13,228
12,2	0,016	-0,008	13,701
12,3	0,018	-0,015	13,858
12,4	0,021	0,007	14,173
12,5	0,024	0,025	14,488
12,6	0,027	0,006	14,803
12,7	0,030	-0,026	15,118
12,8	0,031	-0,017	15,433
12,9	0,034	0,025	15,748
13,0	0,038	0,032	16,063
13,1	0,043	-0,018	16,378
13,2	0,049	-0,046	16,693
13,3	0,056	0,008	17,008
13,4	0,064	0,065	17,323
13,5	0,075	0,017	17,638
13,6	0,088	-0,081	17,953
13,7	0,103	-0,060	18,268
13,8	0,119	0,080	18,583
13,9	0,141	0,114	18,898
14,0	0,176	-0,077	19,213
14,1	0,231	-0,231	19,528
14,2	0,312	-0,024	19,843
14,3	0,418	0,377	20,157
14,4	0,543	0,390	20,472
14,5	0,675	-0,200	20,787
14,6	0,800	-0,789	21,102
14,7	0,893	-0,610	21,417
14,8	0,930	0,249	21,732
14,9	0,892	0,853	22,047
15,0	0,785	0,553	22,362
15,1	0,643	-0,217	22,677
15,2	0,514	-0,519	22,992
15,3	0,439	-0,102	23,307
15,4	0,424	0,377	23,622
15,5	0,439	0,292	23,937
15,6	0,437	-0,178	24,252
15,7	0,392	-0,401	24,567
15,8	0,311	-0,166	24,882
