depth[mm]	HF [V]	NF [V]	TGC [dB]
0,0	0,140	0,059	1,260
0,0	0,190	0,199	1,417
0,0	0,252	0,127	0,787
0,0	0,305	-0,134	0,472
0,0	0,324	-0,309	1,575
0,0	0,293	-0,216	1,732
0,0	0,223	0,004	1,575
0,0	0,150	0,103	1,260
0,1	0,117	0,065	1,102
0,2	0,140	0,079	1,102
0,3	0,202	0,201	1,260
0,5	0,260	0,241	1,417
0,6	0,278	0,062	1,339
0,7	0,251	-0,173	1,181
0,9	0,206	-0,190	1,102
1,0	0,175	0,016	1,260
1,1	0,171	0,171	1,260
1,3	0,182	0,085	1,260
1,4	0,182	-0,108	1,260
1,6	0,159	-0,158	1,260
1,7	0,121	-0,035	1,260
1,8	0,089	0,072	1,260
2,0	0,075	0,035	1,260
2,1	0,076	-0,062	1,260
2,2	0,077	-0,077	1,260
2,4	0,068	-0,008	1,260
2,5	0,049	0,037	1,260
2,6	0,034	0,009	1,260
2,8	0,028	-0,032	1,260
2,9	0,032	-0,022	1,260
3,0	0,035	0,016	1,260
3,2	0,032	0,028	1,260
3,3	0,022	0,006	1,181
3,4	0,013	-0,008	1,260
3,6	0,010	0,004	1,260
3,7	0,012	0,018	1,260
3,8	0,015	0,014	1,260
4,0	0,014	0,002	1,260
4,1	0,011	0,001	1,260
4,3	0,008	0,010	1,260
4,4	0,008	0,014	1,260
4,5	0,010	0,007	1,260
4,7	0,011	0,000	1,260
4,8	0,009	0,001	1,260
4,9	0,006	0,004	1,260
5,1	0,003	0,002	1,260
5,2	0,003	-0,002	1,260
5,3	0,004	-0,002	1,260
5,5	0,005	0,000	1,260
5,6	0,004	0,002	1,260
5,7	0,003	0,001	1,260
5,9	0,002	-0,001	1,260
6,0	0,003	-0,001	1,260
6,1	0,004	-0,001	1,260
6,3	0,004	-0,003	1,260
6,4	0,003	-0,003	1,260
6,5	0,002	-0,001	1,260
6,7	0,001	0,001	1,260
6,8	0,002	0,001	1,260
7,0	0,003	-0,001	1,260
7,1	0,003	-0,002	1,260
7,2	0,002	-0,001	1,260
7,4	0,001	0,000	1,260
7,5	0,001	0,001	1,260
7,6	0,001	0,000	1,260
7,8	0,001	0,000	1,260
7,9	0,001	0,000	1,260
8,0	0,001	0,000	1,260
8,2	0,001	0,000	1,260
8,3	0,001	0,000	1,260
8,4	0,001	0,000	1,260
8,6	0,001	0,000	1,260
8,7	0,001	0,000	1,260
8,8	0,002	0,001	1,260
9,0	0,002	0,001	1,260
9,1	0,003	0,000	1,260
9,2	0,003	-0,002	1,260
9,4	0,003	-0,003	1,260
9,5	0,003	-0,002	1,260
9,6	0,002	0,000	1,260
9,8	0,001	0,001	1,260
9,9	0,001	0,001	1,260
10,1	0,001	0,000	1,260
10,2	0,001	0,000	1,260
10,3	0,001	0,001	0,315
10,5	0,001	0,001	0,472
10,6	0,001	0,000	1,339
10,7	0,001	0,000	2,047
10,9	0,001	0,001	2,677
11,0	0,001	0,001	3,150
11,1	0,001	0,000	3,465
11,3	0,001	0,000	3,780
11,4	0,001	0,001	4,094
11,5	0,002	0,001	4,409
11,7	0,003	0,001	4,724
11,8	0,003	-0,001	5,039
11,9	0,003	-0,002	5,354
12,1	0,002	-0,001	5,669
12,2	0,001	-0,001	5,984
12,3	0,000	-0,001	6,299
12,5	0,001	0,000	6,614
12,6	0,002	0,001	6,929
12,8	0,003	0,002	7,323
12,9	0,004	0,000	7,559
13,0	0,004	-0,003	7,874
13,2	0,003	-0,003	8,189
13,3	0,003	-0,001	8,504
13,4	0,002	0,001	8,819
13,6	0,002	-0,002	9,134
13,7	0,002	-0,003	9,449
13,8	0,003	-0,001	9,764
14,0	0,004	0,003	10,079
14,1	0,006	0,000	10,394
14,2	0,007	-0,007	10,709
14,4	0,008	-0,007	11,024
14,5	0,008	0,002	11,339
14,6	0,007	0,007	11,654
14,8	0,007	-0,001	11,969
14,9	0,009	-0,009	12,283
15,0	0,011	-0,001	12,598
15,2	0,013	0,012	12,913
15,3	0,015	0,008	13,228
15,5	0,017	-0,012	13,543
15,6	0,018	-0,015	13,858
15,7	0,021	0,008	14,173
15,9	0,023	0,023	14,488
16,0	0,026	0,001	14,803
16,1	0,029	-0,027	15,118
16,3	0,032	-0,010	15,433
16,4	0,036	0,032	15,748
16,5	0,041	0,029	16,063
16,7	0,046	-0,026	16,378
16,8	0,052	-0,046	16,693
16,9	0,059	0,017	17,008
17,1	0,068	0,069	17,323
17,2	0,078	0,009	17,638
17,3	0,091	-0,087	17,953
17,5	0,105	-0,050	18,268
17,6	0,121	0,093	18,583
17,7	0,143	0,103	18,898
17,9	0,180	-0,102	19,213
18,0	0,239	-0,228	19,528
18,2	0,324	0,021	19,843
18,3	0,434	0,411	20,157
18,4	0,561	0,354	20,472
18,6	0,694	-0,282	20,787
18,7	0,815	-0,818	21,102
18,8	0,901	-0,536	21,417
19,0	0,927	0,351	21,654
19,1	0,881	0,866	21,890
19,2	0,772	0,462	22,362
19,4	0,635	-0,306	22,677
19,5	0,516	-0,514	22,992
19,6	0,449	-0,034	23,307
19,8	0,435	0,409	23,465
19,9	0,444	0,251	23,937
20,0	0,435	-0,229	24,252
20,2	0,385	-0,395	24,567
20,3	0,306	-0,115	24,803
20,4	0,228	0,167	25,039
20,6	0,181	0,110	25,354
20,7	0,167	-0,119	25,669
20,9	0,168	-0,170	25,984
21,0	0,159	-0,010	26,457
21,1	0,133	0,110	26,772
21,3	0,099	0,049	26,929
21,4	0,073	-0,059	27,244
21,5	0,062	-0,050	27,559
21,7	0,063	0,037	27,874
21,8	0,065	0,060	28,189
21,9	0,062	-0,006	28,504
22,1	0,057	-0,050	28,819
22,2	0,054	-0,007	29,134
22,3	0,056	0,056	29,449
22,5	0,057	0,049	29,764
22,6	0,053	-0,011	30,079
22,7	0,046	-0,038	30,394
22,9	0,039	-0,001	30,866
23,0	0,038	0,042	31,024
23,1	0,042	0,032	31,024
23,3	0,046	-0,016	30,866
23,4	0,044	-0,039	30,866
23,6	0,036	-0,014	30,866
23,7	0,028	0,022	30,866
23,8	0,024	0,024	30,866
24,0	0,025	-0,006	30,866
24,1	0,029	-0,027	30,866
24,2	0,031	-0,013	30,866
24,4	0,030	0,018	30,866
24,5	0,028	0,029	30,866
24,6	0,026	0,007	30,866
24,8	0,026	-0,020	30,866
24,9	0,026	-0,022	30,866
25,0	0,025	0,002	30,866
25,2	0,023	0,022	30,866
25,3	0,021	0,015	30,866
25,4	0,019	-0,008	30,866
25,6	0,019	-0,018	30,866
25,7	0,018	-0,006	30,866
25,8	0,015	0,010	30,866
26,0	0,011	0,011	30,866
26,1	0,008	0,001	30,866
26,2	0,005	-0,004	30,866
26,4	0,004	0,001	30,866
26,5	0,004	0,005	30,866
26,7	0,004	0,001	30,866
26,8	0,005	-0,003	30,866
26,9	0,007	0,002	30,866
27,1	0,010	0,010	30,866
27,2	0,013	0,010	30,866
27,3	0,015	-0,002	30,866
27,5	0,015	-0,012	30,709
27,6	0,012	-0,012	30,866
27,7	0,010	-0,008	30,866
27,9	0,010	-0,006	30,866
28,0	0,012	-0,003	30,866
28,1	0,016	0,006	30,787
28,3	0,018	0,016	30,866
28,4	0,018	0,016	30,866
28,5	0,015	0,003	30,787
28,7	0,011	-0,009	30,866
28,8	0,009	-0,006	30,866
28,9	0,009	0,007	30,866
29,1	0,013	0,011	30,866
29,2	0,017	-0,001	30,866
29,4	0,020	-0,017	30,787
29,5	0,020	-0,019	30,866
29,6	0,018	-0,007	30,866
29,8	0,013	0,006	30,709
29,9	0,009	0,008	30,787
30,0	0,005	0,003	30,709
30,2	0,002	-0,002	30,787
30,3	0,002	-0,001	30,866
30,4	0,002	0,000	30,787
30,6	0,003	-0,001	30,866
30,7	0,005	-0,001	30,709
30,8	0,007	0,003	30,787
31,0	0,009	0,009	30,866
31,1	0,010	0,009	30,709
31,2	0,010	0,003	30,709
31,4	0,009	-0,005	30,787
31,5	0,007	-0,007	30,787
31,6	0,005	-0,005	30,787
31,8	0,004	-0,003	30,709
31,9	0,005	-0,003	30,787
32,1	0,007	-0,001	30,709
32,2	0,008	0,004	30,709
32,3	0,008	0,008	30,787
32,5	0,006	0,005	30,709
32,6	0,004	-0,001	30,709
32,7	0,003	-0,001	30,866
32,9	0,004	0,004	30,709
33,0	0,006	0,005	30,709
33,1	0,009	-0,003	30,709
33,3	0,010	-0,010	30,709
33,4	0,010	-0,004	30,709
33,5	0,008	0,007	30,787
33,7	0,008	0,006	30,787
33,8	0,009	-0,005	30,709
33,9	0,011	-0,009	30,709
34,1	0,012	0,004	30,709
34,2	0,011	0,012	30,709
34,3	0,011	0,001	30,709
34,5	0,013	-0,013	30,709
34,6	0,018	0,000	30,709
34,8	0,025	0,024	30,709
34,9	0,030	0,018	30,709
35,0	0,032	-0,017	30,709
35,2	0,031	-0,030	30,709
35,3	0,031	0,006	30,709
35,4	0,035	0,035	30,709
35,6	0,043	0,001	30,709
35,7	0,052	-0,050	30,709
35,8	0,060	-0,027	30,709
36,0	0,065	0,051	30,709
36,1	0,070	0,053	30,709
36,2	0,081	-0,049	30,709
36,4	0,106	-0,088	30,709
36,5	0,151	0,062	30,709
36,6	0,221	0,218	30,709
36,8	0,318	0,070	30,709
36,9	0,436	-0,340	30,709
37,0	0,563	-0,524	30,709
37,2	0,679	-0,115	30,709
37,3	0,766	0,567	30,709
37,5	0,812	0,784	30,709
37,6	0,816	0,250	30,709
37,7	0,782	-0,498	30,709
37,9	0,716	-0,709	30,709
38,0	0,619	-0,270	30,709
38,1	0,494	0,255	30,709
38,3	0,352	0,358	30,709
38,4	0,216	0,115	30,709
38,5	0,115	-0,070	30,709
38,7	0,067	-0,029	30,709
38,8	0,065	0,063	30,709
38,9	0,082	0,032	30,709
39,1	0,090	-0,063	30,709
39,2	0,075	-0,077	30,709
39,3	0,048	-0,014	30,709
39,5	0,029	0,013	30,709
39,6	0,033	-0,028	30,709
39,7	0,051	-0,056	30,709
39,9	0,066	-0,016	30,709
40,0	0,063	0,039	30,709
40,2	0,043	0,041	30,709
40,3	0,022	0,005	30,709
40,4	0,015	-0,004	30,709
40,6	0,024	0,025	30,709
40,7	0,039	0,042	30,709
40,8	0,046	0,015	30,709
41,0	0,039	-0,021	30,709
41,1	0,025	-0,022	30,709
41,2	0,015	0,005	30,709
41,4	0,015	0,019	30,709
41,5	0,022	0,002	30,709
41,6	0,028	-0,021	30,709
41,8	0,028	-0,023	30,709
41,9	0,022	-0,006	30,709
42,0	0,016	0,008	30,709
42,2	0,012	0,012	30,709
42,3	0,011	0,010	30,709
42,4	0,011	0,009	30,709
42,6	0,011	0,009	30,709
42,7	0,010	0,006	30,709
42,8	0,008	0,001	30,709
43,0	0,009	-0,003	30,709
43,1	0,010	-0,007	30,709
43,3	0,011	-0,009	30,709
43,4	0,010	-0,008	30,709
43,5	0,008	-0,003	30,709
43,7	0,006	0,001	30,709
43,8	0,005	0,002	30,709
43,9	0,005	0,002	30,709
44,1	0,007	0,004	30,709
44,2	0,009	0,009	30,709
44,3	0,011	0,011	30,709
44,5	0,011	0,008	30,709
44,6	0,011	0,001	30,709
44,7	0,010	-0,005	30,709
44,9	0,008	-0,008	30,709
45,0	0,007	-0,007	30,709
45,1	0,006	-0,003	30,709
45,3	0,006	0,001	30,709
45,4	0,005	0,004	30,709
45,5	0,005	0,005	30,709
45,7	0,005	0,005	30,709
45,8	0,006	0,003	30,709
46,0	0,007	0,000	30,709
46,1	0,008	-0,005	30,709
46,2	0,009	-0,008	30,709
46,4	0,009	-0,007	30,709
46,5	0,008	-0,001	30,709
46,6	0,007	0,005	30,709
46,8	0,007	0,006	30,709
46,9	0,008	0,001	30,709
47,0	0,009	-0,007	30,709
47,2	0,012	-0,012	30,709
47,3	0,014	-0,011	30,709
47,4	0,015	-0,006	30,709
47,6	0,015	0,002	30,709
47,7	0,014	0,009	30,709
47,8	0,012	0,011	30,709
48,0	0,010	0,010	30,709
48,1	0,009	0,009	30,709
48,2	0,008	0,006	30,709
48,4	0,008	0,003	30,709
48,5	0,007	-0,001	30,709
48,7	0,006	-0,005	30,709
48,8	0,005	-0,005	30,709
48,9	0,004	-0,002	30,709
49,1	0,003	0,001	30,709
49,2	0,003	0,002	30,709
49,3	0,004	0,000	30,709
49,5	0,005	-0,004	30,709
49,6	0,008	-0,008	30,709
49,7	0,010	-0,009	30,709
49,9	0,012	-0,005	30,709
50,0	0,013	0,002	30,709
50,1	0,013	0,008	30,709
50,3	0,012	0,011	30,709
50,4	0,011	0,012	30,709
50,5	0,011	0,010	30,709
50,7	0,010	0,006	30,709
50,8	0,009	0,000	30,709
50,9	0,007	-0,004	30,709
51,1	0,004	-0,004	30,709
51,2	0,002	-0,001	30,709
51,4	0,001	0,001	30,709
51,5	0,002	-0,001	30,709
51,6	0,003	-0,003	30,709
51,8	0,004	-0,001	30,709
