I(Amp);Vx(mV);I(Amp);Vx(mV)
1;-32,5;-0,9;31,8
0,9;-26,8;-0,8;30,0
0,8;-26,3;-0,7;27,5
0,7;-25,5;-0,6;24,6
0,6;-23,3;-0,5;21,6
0,5;-22,7;-0,4;18,3
0,4;-17,2;-0,3;15
0,3;-14,1;-0,2;11,2
0,2;-11,3;-0,1;7,6
0,1;-7;-0,09;6,5
0,09;-6;-0,08;5,8
0,08;-5,6;-0,07;5,3
0,07;-5,1;-0,06;5
0,06;-4,7;-0,05;4,6
0,05;-4,5;-0,04;4,2
0,04;-4,1;-0,03;3,8
0,03;-3,8;-0,02;3,4
0,02;-3,3;-0,01;3,1
0,01;-3,0;0;2,7
0;-2,6;0,01;2,2
-0,01;1,5;0,02;1,8
-0,02;2,2;0,03;1,5
-0,03;2,6;0,04;1,2
-0,04;2,8;0,05;0,7
-0,05;3,1;0,06;0,3
-0,06;3,3;0,07;0
-0,07;3,7;0,08;-0,2
-0,08;4;0,09;-0,7
-0,09;4,1;0,1;-1
-0,1;4,5;0,2;-3,5
-0,2;5,8;0,3;-7,6
-0,3;8,8;0,4;-11,5
-0,4;12;0,5;-15,7
-0,5;15,2;0,6;-19,1
-0,6;17,8;0,7;-22,8
-0,7;20,8;0,8;-26,5
-0,8;25,2;0,9;-30,2
-0,9;29,3;1;-31,8
-1;31,6;;
